Material: paraffin wax
Main Parameters: ['R']
Minor Parameters: ['THR']
Info: , Area, 55.42, mm^2, Thickness, 37, mm, voltage, 1, V, n=3, freq_fixed, 10000, Hz

Time (s),PV (degC),SV (degC),R Avg.,R Std.,R-THR Avg.,R-THR Std.
0.0,28.7,80.0,100964.66666666667,0.4714045207910317,-0.243893,0.0
1.5,28.9,80.0,100966.33333333333,0.9428090415820634,-0.24309,0.0
3.1,29.3,80.0,100965.33333333333,0.4714045207910317,-0.24282099999999998,0.0003804234482783636
4.7,29.7,80.0,100964.66666666667,0.9428090415820634,-0.24282099999999998,0.0003804234482783636
6.3,30.1,80.0,100964.33333333333,1.247219128924647,-0.24308866666666665,0.0006572804238341165
7.9,30.6,80.0,100965.66666666667,1.247219128924647,-0.24309,0.0
9.5,30.9,80.0,100965.66666666667,1.247219128924647,-0.24282099999999998,0.0003804234482783636
11.1,31.1,80.0,100966.0,0.816496580927726,-0.24201333333333333,0.0003813662573199466
12.7,31.3,80.0,100965.33333333333,0.9428090415820634,-0.243893,0.0
14.3,31.4,80.0,100965.66666666667,0.4714045207910317,-0.242552,0.0003804234482783636
15.9,31.5,80.0,100965.66666666667,1.247219128924647,-0.24255133333333334,0.0007617897055983102
17.5,31.5,80.0,100964.33333333333,0.4714045207910317,-0.242283,0.0
19.1,31.5,80.0,100967.0,0.0,-0.242283,0.0
20.7,31.5,80.0,100965.33333333333,0.4714045207910317,-0.24389233333333335,0.0006548304275832682
22.3,31.5,80.0,100965.0,0.816496580927726,-0.24309,0.0
23.9,31.5,80.0,100967.0,1.4142135623730951,-0.24362533333333333,0.00037853783019519755
25.5,31.4,80.0,100966.33333333333,0.4714045207910317,-0.24442699999999998,0.00037759502115361455
27.1,31.4,80.0,100967.0,0.0,-0.24362533333333333,0.00037853783019519755
28.7,31.4,80.0,100965.0,1.4142135623730951,-0.24522533333333332,0.0007514188061409102
30.3,31.4,80.0,100966.33333333333,0.4714045207910317,-0.244694,0.0
31.9,31.4,80.0,100965.33333333333,1.247219128924647,-0.245493,0.0
33.5,31.4,80.0,100965.66666666667,0.4714045207910317,-0.24549166666666666,0.0006507484579740177
35.1,31.6,80.0,100965.66666666667,0.9428090415820634,-0.24549166666666666,0.0006507484579740177
36.7,32.1,80.0,100966.66666666667,0.9428090415820634,-0.245758,0.00037476659402887867
38.3,32.4,80.0,100966.0,0.816496580927726,-0.24628766666666668,0.0006487065763673326
39.9,32.5,80.0,100965.66666666667,1.247219128924647,-0.24496033333333334,0.00037665221211203155
41.5,32.6,80.0,100965.0,0.816496580927726,-0.24602266666666664,0.0007490617835369527
43.1,32.6,80.0,100964.66666666667,0.4714045207910317,-0.24549166666666666,0.0006507484579740177
44.7,32.6,80.0,100966.33333333333,0.4714045207910317,-0.24522666666666668,0.00037665221211203155
46.3,32.7,80.0,100964.0,1.4142135623730951,-0.2457566666666667,0.0007514188061409102
47.9,32.7,80.0,100965.33333333333,1.247219128924647,-0.244694,0.0
49.5,32.7,80.0,100965.33333333333,1.699673171197595,-0.244694,0.0
51.1,32.8,80.0,100964.33333333333,0.4714045207910317,-0.24362533333333333,0.00037853783019519755
52.7,32.8,80.0,100964.66666666667,0.4714045207910317,-0.24362533333333333,0.00037853783019519755
54.3,32.7,80.0,100962.66666666667,0.4714045207910317,-0.24416000000000002,0.0003775950211536146
55.9,32.7,80.0,100966.66666666667,1.247219128924647,-0.24335766666666667,0.00037853783019519755
57.5,32.7,80.0,100965.0,0.816496580927726,-0.24362533333333333,0.00037853783019519755
59.1,32.7,80.0,100966.33333333333,0.4714045207910317,-0.242552,0.0003804234482783636
