55.42, Area (mm^2), 37, Thickness (mm), 1, V, n=3

Freqency (Hz), R, std, THR, std
1.000000e+02,1.009473e+05,9.428090e-01,0.000000e+00,0.000000e+00
1.000000e+03,1.009487e+05,9.428090e-01,-2.797650e-02,0.000000e+00
1.000000e+04,1.009443e+05,9.463380e+00,-2.571098e-01,1.620223e-01
